paragraph_arr,freq,title,rank,meaning,example,sentence,rating
PROFESSIONS,11,10,110,"A paid occupation, especially one that involves prolonged training and a formal qualification.",his chosen profession of teaching,"As with most professions, you’ll need an appropriate education before you can work as a data scientist",2
INFINITE,11,10,110,A space or quantity that is infinite.,"beyond the infinite, the space traveler is transformed","There may be occasions where data is collected on a feature that accumulates, thereby having an infinite upper boundary",2
CHOSE,11,10,110,Pick out (someone or something) as being the best or most appropriate of two or more alternatives.,he chose a seat facing the door,"I chose Medium as a platform not only because it’s paid, but also because I like the community",2
ENGAGEMENT,11,10,110,A formal agreement to get married.,she'd broken off her engagement to Paul,"Data science is mostly applied in marketing areas of profiling, search engine optimization, customer engagement, responsiveness, real-time marketing campaigns",2
TILL,11,10,110,Up to (the point in time or the event mentioned); until.,I went to bed at 8 last night and slept till 6.30,"After building, training and deploying your models to production, the task is still not complete unless you have monitoring systems in place",2
GAPS,11,10,110,A break or hole in an object or between two objects.,he peeped through the gap in the curtains,The scientist develops and asks the question and is responsible for knowing the state of the science and what the key gaps are,2
UNABLE,11,10,110,"Lacking the skill, means, or opportunity to do something.",she was unable to conceal her surprise,,2
INTERDISCIPLINARY,11,10,110,Relating to more than one branch of knowledge.,an interdisciplinary research program,"Unfortunately, I don't think we have done very well in this pandemic yet with regard to interdisciplinary work",2
CORRELATIONS,11,10,110,A mutual relationship or connection between two or more things.,research showed a clear correlation between recession and levels of property crime,"To understand our findings, we have to remind ourselves that Snorkel’s label model learns to predict the accuracy and correlations of the labelling functions based on agreements and disagreements amongst each other",2
DISPARATE,11,10,110,Things so unlike that there is no basis for comparison.,The second class of disparates have more to do with the particular foibles of the aperture involved.,"One of the most frustrating experiences for any data scientists is when they have to work with disparate, fragmented tools and platforms in support of various lifecycle tasks, such as source discovery, data preparation, statistical modeling, and visualization",2
EXTRACTION,11,10,110,"The action of taking out something, especially using effort or force.",mineral extraction,"When collecting data on a mass scale, this aims to ensure that any confidential information in the data remains private, without hindering the analysis and extraction of insight",2
INSPIRATION,11,10,110,"The process of being mentally stimulated to do or feel something, especially to do something creative.",Helen had one of her flashes of inspiration,"Inspiration is cheap, but rigor is expensive",2
NONETHELESS,11,10,110,In spite of that; nevertheless.,"it was the barest of welcomes, but it was a welcome nonetheless","If the recruiter has to click on the right repository in your Github and then click through files until they find the Jupyter notebook with unreadable code (without comments nonetheless), you’ve already lost",2
PROBLEMATIC,11,10,110,A thing that constitutes a problem or difficulty.,the problematics of artificial intelligence,"While thinking of data scientists as ""developers"" is somewhat problematic, there is undoubtedly a lot of crossover in the types of skills that a contemporary coding data scientist possesses and those which a developer does, on a technical level",2
EXAMINE,12,9,108,Inspect (someone or something) in detail to determine their nature or condition; investigate thoroughly.,a doctor examined me and said I might need a caesarean,"Unexamined assumptions is another pet peeve of mine, and qualitative researchers seem more prone to this than quantitative researchers",2
SEGMENTATION,12,9,108,Division into separate parts or sections.,the segmentation of society means that often we don't have arguments across the political divide,"Presumably, this segmentation is a bit blurry; some apprentices will never aspire to become an expert, having job requirements that are well-defined and can be solved using standard techniques",2
MOOC,12,9,108,A course of study made available over the internet without charge to a very large number of people.,anyone who decides to take a MOOC simply logs on to the website and signs up,"In summary, we’ve discussed the advantages and disadvantages of data science MOOC",3
DEPEND,10,10,100,Be controlled or determined by.,differences in earnings depended on a wide variety of factors,The fate of science—and sleeping well at night—depends on deterring the danger,3
WIDESPREAD,10,10,100,Found or distributed over a large area or number of people.,there was widespread support for the war,"Deep learning still isn't as widespread as one might think, given its dramatic uptick in attention and hyped success this past year",3
ADOPTING,10,10,100,Legally take (another's child) and bring it up as one's own.,there are many people eager to adopt a baby,,3
FEASIBLE,10,10,100,Possible to do easily or conveniently.,it is not feasible to put most finds from excavations on public display,,3
CALCULATING,10,10,100,Acting in a scheming and ruthlessly determined way.,"he was a coolly calculating, ruthless man","When you’re doing some analysis in your Jupyter Notebook, it doesn’t matter if calculating those pairwise distances takes you two, five, or ten minutes",3
CONVERTING,10,10,100,"Change the form, character, or function of something.",modernization has converted the country from a primitive society to a near-industrial one,"In RCloud, every notebook is named by a URL, so converting collaborative work into reports and recommendations is accomplished by sharing (e",3
SENSORS,10,10,100,"A device which detects or measures a physical property and records, indicates, or otherwise responds to it.","to ensure greater response and surer handling, the engineers used electronic sensors to monitor each wheel","At present, edge computing is propelled by sensors",3
ADMIT,10,10,100,"Confess to be true or to be the case, typically with reluctance.",the office finally admitted that several prisoners had been injured,I have to admit that I had never heard of the concept of ‘data blending’ before reading the reference,3
NEAT,10,10,100,"(of a place or thing) arranged in an orderly, tidy way.",the books had been stacked up in neat piles,"When most data scientists start working, they are equipped with all the neat math concepts they learned from school textbooks",3
REVEAL,10,10,100,Make (previously unknown or secret information) known to others.,Brenda was forced to reveal Robbie's whereabouts,"It’s one thing to know how to play with numbers, but it’s more important to understand what insights these numbers reveal on the business, and what actions to take based on these insights",3
NOTION,10,10,100,A conception of or belief about something.,children have different notions about the roles of their parents,"You can save the problem statements in an organized manner, ideally grouped by theme using tools such as Notion or Jupyter notebooks",3
INTERPRETATION,10,10,100,The action of explaining the meaning of something.,the interpretation of data,"Statistics is the scientific collection, organization, analysis, and interpretation of data",3
EVOLVE,10,10,100,"Develop gradually, especially from a simple to a more complex form.",the company has evolved into a major chemical manufacturer,This system as it has evolved leads inherently to 3 major problems,3
NOTATION,10,10,100,"A series or system of written symbols used to represent numbers, amounts, or elements in something such as music or mathematics.",algebraic notation,"In this environment, data scientist teams benefit from easier sharing of scripts and data feeds, experiments, annotations and automated recommendations which are well beyond what traditional individual or locally based development environments provide",3
EVERYDAY,10,10,100,Each day; daily.,I get up at six every day,"Second, a key aspect of everyday is communication",3
ACQUIRED,10,10,100,Buy or obtain (an asset or object) for oneself.,I managed to acquire all the books I needed,Skills acquired from course work alone will not make you a data scientist,3
PROPORTION,10,10,100,Adjust or regulate (something) so that it has a particular or suitable relationship to something else.,a life after death in which happiness can be proportioned to virtue,So they have a 99/1 proportion of negatives to positives,3
CURATED,10,10,100,"(of online content, merchandise, information, etc.) selected, organized, and presented using professional or expert knowledge.",individuals still desire curated news content,"Springboard’s rigorous 200-hour curriculum for Data Science Career Track was curated by experts from IBM, Cisco, and Pindrop Security",3
PITFALLS,10,10,100,A hidden or unsuspected danger or difficulty.,the pitfalls of buying goods at public auctions,You have a solid understanding of main concepts and techniques and also a deeper knowledge of their pitfalls,3
ALIKE,10,10,100,In the same or a similar way.,they dressed alike in black pants and jackets,"For software and data analysis alike, the challenge is that bugs or unexpected behavior can originate from anywhere",3
EVERYBODY,10,10,100,Every person.,everybody agrees with his views,"By fusing these different disciplines, you keep everybody close to the reality check",3
CONTRIBUTING,10,10,100,"Give (something, especially money) in order to help achieve or provide something.",taxpayers had contributed £141.8 million towards the cost of local services,"However, I have many friends in IT industry and observed a great many traditional IT engineers enthusiastic about learning/contributing to the exciting field of data science and machine learning/artificial intelligence",3
INSIGHTFUL,10,10,100,Having or showing an accurate and deep understanding; perceptive.,thank you for all the insightful comments,A data scientist works with data to draw out meaning and insightful conclusions that can drive decision making in an institution or organization,3
SPARE,10,10,100,Give (something of which one has enough) to (someone); afford to give to.,she asked if I could spare her a dollar or two,"When it comes to the utility I see in these types of tools, what’s really important is reproducibility and transparency on how the analysis was performed",3
AWARENESS,10,10,100,Knowledge or perception of a situation or fact.,we need to raise public awareness of the issue,"The use of anonymised data for research has either flown under the radar or there is just not enough awareness of the risk of de-anonymisation, especially of network data",3
MERELY,10,10,100,Just; only.,"she seemed to him not merely an intelligent woman, but a kind of soul mate",In this tutorial we merely scratched the ground,3
QUALIFIED,10,10,100,Officially recognized as being trained to perform a particular job; certified.,newly qualified nurses,Interviews are designed to weed out candidates that aren’t qualified to do a job,3
STRUGGLE,10,10,100,Make forceful or violent efforts to get free of restraint or constriction.,"before she could struggle, he lifted her up",Deploying machine learning models has always been a struggle,3
OVERWHELMED,10,10,100,"Bury or drown beneath a huge mass of something, especially water.",floodwaters overwhelmed hundreds of houses,I wrote this blog because I know how overwhelmed I was,3
INNER,11,9,99,The inner part of something.,using his rock shoes as inners for his double boots,This post presents a pathway to achieving success in Kaggle competitions as a beginner,3
SATISFY,11,9,99,"Meet the expectations, needs, or desires of (someone)",I have never been satisfied with my job,"Like probability mass functions, probability density functions must satisfy some requirements",3
INTERPRETING,11,9,99,Explain the meaning of (information or actions),the evidence is difficult to interpret,"Though these 3 types of experts are on the same team, there might be a gap in correctly understanding the problem or interpreting the results after integrating their expertise",3
PULLING,11,9,99,Exert force on (someone or something) so as to cause movement towards oneself.,he pulled them down on to the couch,"While the previous pair of roles were related to designing the infrastructure to manage the data, as well as actually managing the data, business analysts are chiefly concerned with pulling from the data, more or less as it currently exists",3
ANYWAY,11,9,99,Used to confirm or support a point or idea just mentioned.,"I told you, it's all right, and anyway, it was my fault","Other critics say personalized marketing frequently subsidizes purchases that would have been made anyway and, in the process, increases price consciousness among consumers and, over time, can erode brand equity",3
COMPETITORS,11,9,99,A person who takes part in a sporting contest.,two competitors were banned for taking drugs,"XGBoost has become a widely used and really popular tool among Kaggle competitors and Data Scientists in industry, as it has been battle tested for production on large-scale problems",3
ENGAGING,11,9,99,Charming and attractive.,Sophie had a sunny personality that was very engaging,"Whether engaging in credit risk scoring, weather forecasting, climate forecasting, marketing, diagnosis a patient’s disease, or estimating a patient’s prognosis, I do not want to use a classification method",3
ARRAYS,11,9,99,Display or arrange (things) in a particular way.,the manifesto immediately divided the forces arrayed against him,"Tensors are the basic building blocks in PyTorch and put very simply, they are NumPy arrays but on GPU",3
STORYTELLING,11,9,99,The activity of telling or writing stories.,the power of cinematic storytelling,Storytelling is an important part of data science,3
OVERWHELMING,12,8,96,Very great in amount.,he was elected president by an overwhelming majority,"With this knowledge in hand, I made an important decision: preparing for all tracks would be both overwhelming and most likely less effective",3
BORING,12,8,96,Not interesting; tedious.,I've got a boring job in an office,Monitoring might sound boring,3
INCREMENTAL,12,8,96,"Relating to or denoting an increase or addition, especially one of a series on a fixed scale.",incremental changes to the current system,"Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",3
SPATIAL,12,8,96,Relating to or occupying space.,the spatial distribution of population,"His interests include text mining, natural language processing and geospatial analysis",3
LAID,12,8,96,Put (something) down gently or carefully.,she laid the baby in his cot,"I was so lucky that I got lots of support and help from family and friends after being laid off, which was critical to landing a job at my dream company",3
TRANSFORMER,16,6,96,An apparatus for reducing or increasing the voltage of an alternating current.,LED lights require a transformer to turn alternating current to direct current.,Transformer / Attention models have attracted a lot of attention,3
METADATA,10,9,90,A set of data that describes and gives information about other data.,"In the context of biological informatics, metadata is an interoperability issue.","She asked them to imagine soup as the data, the can as the database, and the label as metadata",3
NECESSITY,10,9,90,The fact of being required or indispensable.,the necessity of providing parental guidance should be apparent,The necessity to build robust systems was obvious in the pre-big-data and pre-deep world,3
EXPONENTIALLY,10,9,90,(with reference to an increase) more and more rapidly.,our business has been growing exponentially,"Data is everywhere, and is found in huge and exponentially increasing quantities",3
ENCOURAGED,10,9,90,"Give support, confidence, or hope to (someone)",we were encouraged by the success of this venture,Women are encouraged to get involved in AI due to its world-changing qualities and to reduce the gender-bias that exists,3
CIRCLES,10,9,90,"Move all the way around (someone or something), especially more than once.",they were circling Athens airport,"Facebook, Linkedin, and Twitter), users’ behavior is likely impacted by that of people in their social circles",3
MINDSET,10,9,90,The established set of attitudes held by someone.,the region seems stuck in a medieval mindset,This is one area where you need a serious change in mindset and I needed such change too,3
WORKFORCE,10,9,90,"The people engaged in or available for work, either in a country or area or in a particular company or industry.",a quarter of Galway's manufacturing workforce are being put out of a job,"However, what should be kept in the back of your mind at all times is that to remain relevant in the workforce, you need to stay up to date with technology",3
DISPOSAL,10,9,90,The action or process of throwing away or getting rid of something.,the disposal of radioactive waste,With the rise of electronic healthcare records the amount of data at our disposal is at an all-time high,3
OUTLIER,10,9,90,A person or thing situated away or detached from the main body or system.,less accessible islands and outliers,"First, and most importantly to this discussion, outlier analysis is not its own method of mining as are the other problems above, but instead can actually use the above methods for its own goals (it's an end, as opposed to a means)",3
FORTH,10,9,90,Out from a starting point and forward or into view.,"the plants will bush out, putting forth fresh shoots","What makes Dask so popular is the fact that it makes analytics scalable in Python and not necessarily need switching back and forth between SQL, Scala and Python",3
CONSEQUENCES,10,9,90,"A result or effect, typically one that is unwelcome or unpleasant.",abrupt withdrawal of drug treatment can have serious consequences,"In this vein, it’s important to think critically about how to effectively measure and achieve desired outcomes in a way that minimizes unintended consequences",3
FORMULA,10,9,90,A mathematical relationship or rule expressed in symbols.,the formula for the capacitance of a spherical capacitor,"If we toss a fair coin 100 million times, we have the expected number of heads (mean) as 50 million, the standard deviation =10,000 (using formula 0",3
PUSH,10,9,90,"Exert force on (someone or something), typically with one's hand, in order to move them away from oneself or the origin of the force.",she pushed her glass toward him,"After your interview, you should feel like you just completed a workout where a personal trainer pushed you to your limits",3
AMONGST,10,9,90,Situated more or less centrally in relation to (several other things),flowers hidden among the roots of the trees,"To understand our findings, we have to remind ourselves that Snorkel’s label model learns to predict the accuracy and correlations of the labelling functions based on agreements and disagreements amongst each other",3
STREAMLINE,10,9,90,"Design or provide with a form that presents very little resistance to a flow of air or water, increasing speed and ease of movement.",engineers can reduce a vehicle's fuel consumption by reducing its size and weight and by streamlining its body,,3
DIGGING,10,9,90,"Break up and move earth with a tool or machine, or with hands, paws, snout, etc.",the boar had been digging for roots,This phase entails digging deep to get a feel of the data and extract intuitions for feature engineering,3
FAVOR,10,9,90,Feel or show approval or preference for.,slashing public spending is a policy that few politicians favor,You walk down one aisle of the grocery store to get your favorite cereal,3
BULLET,10,9,90,"A metal projectile for firing from a rifle, revolver, or other small firearm, typically cylindrical and pointed, and sometimes containing an explosive.","She said authorities also found in the car automatic rifles, bullet cartridges, plastic explosives and other materials.",What programming language should one learn to get a machine learning or data science job?  That’s the silver bullet question,3
ASSIGNED,10,9,90,Allocate (a job or duty),Congress had assigned the task to the agency,"In the world of franchising, franchisees are assigned a location and/or territory by their franchisor to operate their own business using the franchisor's brand",3
PSYCHOLOGY,10,9,90,"The scientific study of the human mind and its functions, especially those affecting behavior in a given context.",He studied Jungian and transpersonal psychology and took a special interest in allergic diseases.,Entire fields of psychology and behavioral economics are dedicated to this field,3
ILLUSTRATED,10,9,90,"(of a book, newspaper, etc.) containing pictures or other graphical material.",an illustrated collection of poems,An instance of such a model monitoring framework is illustrated in Fig 2 below,3
IGNORING,10,9,90,Refuse to take notice of or acknowledge; disregard intentionally.,he ignored her outraged question,"Ignoring their model’s poor performance, is this even a good approach? “Understanding” often includes understanding the predictors, not just the names and account numbers of the high-scoring drivers",3
SHAPES,10,9,90,Give a particular shape or form to.,most caves are shaped by the flow of water through limestone,"In the illustrations below, robot pictures in each category consist of robots with different head and body shapes",3
SEGMENT,10,9,90,Divide (something) into separate parts or sections.,the unemployed are segmented into two groups,"Presumably, this segmentation is a bit blurry; some apprentices will never aspire to become an expert, having job requirements that are well-defined and can be solved using standard techniques",3
UNNECESSARY,10,9,90,Not needed.,a fourth Chicago airport is unnecessary,"We viewed these handoffs as the next obvious bottleneck for in-memory processing, and set out to work across a wide range of projects to develop a common set of interfaces that would remove unnecessary serialization and deserialization when marshalling data",3
HISTOGRAMS,10,9,90,A diagram consisting of rectangles whose area is proportional to the frequency of a variable and whose width is equal to the class interval.,The standard procedure for generating a histogram is Graphs Histogram and then selecting the relevant variable.,Histograms represent a binned version of the probability density function,3
UNLIKELY,10,9,90,"Not likely to happen, be done, or be true; improbable.",an unlikely explanation,"We had another example of statistically very unlikely event happen in Super Bowl LI on Feb 5, 2017",3
DETECTED,10,9,90,Discover or identify the presence or existence of.,cancer may soon be detected in its earliest stages,"The classifier would have to be re-trained on the new sample, and the patterns detected may change greatly",3
DEEPLY,10,9,90,Far down or in.,he breathed deeply,I realized how deeply seated some cognitive biases are,3
ADEQUATE,10,9,90,Satisfactory or acceptable in quality or quantity.,this office is perfectly adequate for my needs,One of the stipulations of the law required that schools make adequate yearly progress (AYP) on standardized assessments year over year (i,3
COMPOSED,10,9,90,Having one's feelings and expression under control; calm.,a very talented and composed young player,"The organization of family history is fascinating, as it is composed of so many intersecting family trees",3
DAUNTING,10,9,90,Seeming difficult to deal with in anticipation; intimidating.,a daunting task,I find starting out in a new area of programming a somewhat daunting experience,3
INDICATE,10,9,90,Point out; show.,dotted lines indicate the text's margins,Our research indicates that online master’s in analytics programs are on a parallel track with the aforementioned developments,3
SOLELY,10,9,90,Not involving anyone or anything else; only.,he is solely responsible for any debts the company may incur,,3
ORCHESTRATION,11,8,88,The arrangement or scoring of music for orchestral performance.,Prokofiev's mastery of orchestration,Kubernetes is an open source platform for container orchestration,3
REPRODUCIBLE,11,8,88,Able to be reproduced or copied.,the logo should be easily reproducible,"We initially built it as an internal solution for tracking our experiments, making them reproducible, and with easy setup of environments",3
MENTOR,11,8,88,"Advise or train (someone, especially a younger colleague)",both trainees were expertly mentored by a site supervisor,"Springboard says the reason it’s confident it can live up to the promise is its world-class mentor network of data scientists, who have worked at companies like Facebook, Instacart, Jawbone and more",3
OVERFLOW,12,7,84,(especially of a liquid) flow over the brim of a receptacle.,chemicals overflowed from a storage tank,"The package ranking is based on equally weighing its three components: Github (stars and forks), Stack Overflow (tags and questions), and number of Google search results",3
FAKE,14,6,84,Forge or counterfeit (something),the woman faked her spouse's signature,Classifying “fake news” provides a novel challenge to the data science community,3
ENTHUSIASTS,9,9,81,A person who is very interested in a particular activity or subject.,a sports car enthusiast,"Join us to find out how robots and humans can combat extinction or for a host of great presentations at the DataYap Virtual Conference, designed for technology leaders and enthusiasts at all career stages",3
EXPLAINS,9,9,81,Make (an idea or situation) clear to someone by describing it in more detail or revealing relevant facts.,they explained that their lives centred on the religious rituals,The author explains fundamental concepts in machine learning in a way that is very easy to follow,3
SATISFIED,9,9,81,Contented; pleased.,satisfied customers,"If you are not satisfied with generic advice above, read on",3
INTERPRETED,9,9,81,Explain the meaning of (information or actions),the evidence is difficult to interpret,,3
EXPANDING,9,9,81,Become or make larger or more extensive.,their business expanded into other hotels,The R's ecosystem has been expanding so much that a lot of referencing is needed,3
CONCISE,9,9,81,Giving a lot of information clearly and in a few words; brief but comprehensive.,a concise account of the country's history,This book fills the need for a concise and conversational book on the growing field of Data Analytics and Big Data,3
PREDICTORS,9,9,81,A person or thing that predicts that something will happen in the future or will be a consequence of something.,business trend predictors have said some interesting things about the power of networks,Most machine learning models are built with a data set having several features or predictors,3
TRICK,9,9,81,Deceive or outwit (someone) by being cunning or skillful.,buyers can be tricked by savvy sellers,"Many other tricks exist, some are problem-specific, some are not",3
SENSITIVE,9,9,81,A person who is believed to respond to occult influences.,"Thus, the positive results demonstrated by the sensitives do not appear to have resulted from ubiquitous stereotypes regarding ghosts that caused witnesses and sensitives to respond to the locale in a concordant manner.",One of the key elements in choosing a method is having a sensitive accuracy scoring rule with the correct statistical properties,3
TACKLING,9,9,81,Make determined efforts to deal with (a problem or difficult task),police have launched an initiative to tackle rising crime,"As in Sample 1 coding exercise, you need to follow the machine learning steps when tackling this problem",3
CONSUMPTION,9,9,81,The using up of a resource.,industrialized countries should reduce their energy consumption,This dataset is composed of power consumption data from PJM’s website,3
PRECISE,9,9,81,Marked by exactness and accuracy of expression or detail.,precise directions,"Returning to today’s context, it is precisely a solution like this that seems to be missing",3
SUFFER,9,9,81,Experience or be subjected to (something bad or unpleasant),he'd suffered intense pain,A doctor returns to his small town only to find several of his patients suffering the paranoid delusion that their friends or relatives are impostors,3
INFER,9,9,81,Deduce or conclude (information) from evidence and reasoning rather than from explicit statements.,from these facts we can infer that crime has been increasing,"The Bayesian method is the natural approach to inference, yet it is hidden from readers behind chapters of slow, mathematical analysis",3
INFERENCES,9,9,81,A conclusion reached on the basis of evidence and reasoning.,researchers are entrusted with drawing inferences from the data,"While it is true that Data Structures and Algorithms are outsourced to packages, your ability to make inferences from data is aided by your understanding of algorithms and data structures",3
TREMENDOUS,9,9,81,"Very great in amount, scale, or intensity.",Penny put in a tremendous amount of time,"Most systems are engineered to minimize the number of disk seeks and the amount of data scanned, as these operations can add tremendous latency",3
FOUNDER,9,9,81,A person who manufactures articles of cast metal; the owner or operator of a foundry.,an iron founder,"As the co-founder and CEO of qAIRa, Monica Abarca develops technological solutions to deal with air contamination",3
STABILITY,9,9,81,The state of being stable.,there are fears for the political stability of the area,"Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",3
CONFUSING,9,9,81,Bewildering or perplexing.,he found being in Egypt very confusing,This structure gives students the opportunity to learn these distinct concepts without confusing them,3
ENCOUNTERED,9,9,81,Unexpectedly be faced with or experience (something hostile or difficult),we have encountered one small problem,"One of the non-trivial situations we encountered at Windfall is handling multiple-property transactions, where properties at multiple addresses are purchased as part of the same transaction",3
EQUIVALENT,9,9,81,"A person or thing that is equal to or corresponds with another in value, amount, function, meaning, etc.",the French equivalent of the FBI,"Once I’ve managed to cobble together a half-decent result, I’ll then go back to try to fix the equivalent of a bad accident",3
PRECISELY,9,9,81,In exact terms; without vagueness.,the guidelines are precisely defined,"Returning to today’s context, it is precisely a solution like this that seems to be missing",3
MOTIVATED,9,9,81,Provide (someone) with a reason for doing something.,he was primarily motivated by the desire for profit,You’re a self-motivated person who is very passionate about data science and bringing values to companies by solving complex problems,3
ATTENDED,9,9,81,"Be present at (an event, meeting, or function)",the whole sales force attended the conference,"Records may indicate that a particular member has only attended yoga sessions, and their attendance has gradually become less consistent",3
INVESTIGATE,9,9,81,"Carry out a systematic or formal inquiry to discover and examine the facts of (an incident, allegation, etc.) so as to establish the truth.",police are investigating the alleged beating,A starship crew goes to investigate the silence of a planet’s colony only to find two survivors and a deadly secret,3
REACTION,9,9,81,An action performed or a feeling experienced in response to a situation or event.,Carrie's immediate reaction was one of relief,Successful implementation of predictive maintenance thus is the result of a change in behavior due to the reaction on a new reality,3
OCCURRED,9,9,81,Happen; take place.,the accident occurred at about 3.30 p.m.,"This dataset presents transactions that occurred in two days, with 492 frauds out of 284,807 transactions",3
REALM,9,9,81,A kingdom.,the peers of the realm,Model monitoring within the realm of MLOps has become a necessity for mature ML systems,3
NEWCOMERS,9,9,81,A person who has recently arrived in a place.,she's a newcomer to the area,"An easy mistake for data science newcomers to make is to underestimate the complexity of the algorithm landscape, thinking that a decision tree is a decision tree, a neural network is a neural network, etc",3
BENCHMARK,9,9,81,Evaluate or check (something) by comparison with a standard.,we are benchmarking our performance against external criteria,This is partially happening with the benchmarks usually provided by the literature,3
MECHANISM,9,9,81,A system of parts working together in a machine; a piece of machinery.,the gunner injured his arm in the turret mechanism,"As we strive for mastery, it is important to note that it is never enough to know why a mechanism works and what it can do",3
ASSUMPTION,9,9,81,"A thing that is accepted as true or as certain to happen, without proof.",they made certain assumptions about the market,Why would we want to transform our data to fit the Normal Distribution? Great question! You may want to use a parametric model — a model that makes assumptions of the data — rather than a non-parametric model,3
DANGEROUS,9,9,81,Able or likely to cause harm or injury.,a dangerous animal,Applying inappropriate evaluation metrics for model generated using imbalanced data can be dangerous,3
VARIES,9,9,81,"Differ in size, amount, degree, or nature from something else of the same general class.",the properties vary in price,"If you are going to be taking one of these courses, keep in mind that some MOOCs are 100% free, while some do require you to pay a subscription fee (which could range anywhere from $50 to $200 per course or more, varies from platforms to platforms)",3
VENTURE,9,9,81,A risky or daring journey or undertaking.,pioneering ventures into little-known waters,Over the past nine months I’ve worked with over a dozen venture-funded startups to build out their internal analytics,3
MINIMAL,9,9,81,"Of a minimum amount, quantity, or degree; negligible.",production costs are minimal,Pytorch provides a lot of customizability with minimal code,3
BREADTH,10,8,80,The distance or measurement from side to side of something; width.,the boat measured 27 feet in breadth,"At 10 pages, you should be able to imagine the breadth of probability topics being covered herein",3
INDIRECT,10,8,80,Not directly caused by or resulting from something.,full employment would have an indirect effect on wage levels,The problem with formal education is that it sets up an indirect path between the learning context and the target environment — the context in which learned skills and knowledge are applied,3
SHIFTED,10,8,80,"Move or cause to move from one place to another, especially over a small distance.",a team from the power company came to shift the cables away from the house,"From a research persepctive, I saw 2016 as a year in which the primary focus of the applied machine learning community shifted beyond supervised learning",3
UNPREDICTABLE,10,8,80,Not able to be predicted.,the unpredictable weather of the Scottish islands,It’s a fact that data science results are probabilistic and unpredictable,3
DRAG,10,8,80,"Pull (someone or something) along forcefully, roughly, or with difficulty.",we dragged the boat up the beach,"This is the time when the Dragon of (business) Demand asks the Mighty Dwarf for help with alternatives: “Oi, I don’t want my parameter to go up when the maximal value in the data does not go up",3
LITERALLY,10,8,80,In a literal manner or sense; exactly.,the driver took it literally when asked to go straight across the traffic circle,,3
VOCABULARY,11,7,77,The body of words used in a particular language.,"Just as the vocabulary of a language changes from age to age, so the vocabularies of different languages are distinct in their systems, uses, and references.",We can give an English sentence and shifted output sentence and do a forward pass and get the probabilities over the German vocabulary,3
DESCENT,11,7,77,"An action of moving downward, dropping, or falling.",the plane had gone into a steep descent,"Matrix factorization, graph theory, kernel methods, clustering theory, streaming, gradients descent, data sampling; these are all concepts that will serve you well later, when it comes to solving data science problems, and they are all essential building blocks to implementing more complex approaches as well",3
CLIMATE,11,7,77,The weather conditions prevailing in an area in general or over a long period.,"our cold, wet climate","Species selection is a tedious process of searching for specific genes that determine the effectiveness of water and nutrients use, adaptation to climate change, disease resistance, as well as nutrients content or a better taste",3
DETECTING,9,8,72,Discover or identify the presence or existence of.,cancer may soon be detected in its earliest stages,"A few years ago, there was quite a bit of buzz around Target, in particular, detecting pregnant customers",3
STABLE,9,8,72,(of an object or structure) not likely to give way or overturn; firmly fixed.,specially designed dinghies that are very stable,The balance of types of activities is not stable over time in a team,3
ROBOT,9,8,72,(especially in science fiction) a machine resembling a human being and able to replicate certain human movements and functions automatically.,the robot closed the door behind us,The metamorphosis from robotics researcher to data scientist was organic,3
BARRIER,9,8,72,A fence or other obstacle that prevents movement or access.,the mountain barrier between Norway and Sweden,Data Science could add more value to an organization if those hidden walls or barriers between groups are demolished and the data is unified,3
CONVINCE,9,8,72,Cause (someone) to believe firmly in the truth of something.,Robert's expression had obviously convinced her of his innocence,"After you do those three things, see if you can convince someone to pay you to learn data science",3
ASSIGNMENT,9,8,72,A task or piece of work assigned to someone as part of a job or course of study.,a homework assignment,PS: The next assignment that I will deal with is to perform Predictive Analysis,3
RETRIEVE,9,8,72,Get or bring (something) back; regain possession of.,I was sent to retrieve the balls from his garden,"The former creates the database from scratch; they design the way data will be retrieved, processed, and consumed",3
PHENOMENON,9,8,72,"A fact or situation that is observed to exist or happen, especially one whose cause or explanation is in question.",glaciers are unique and interesting natural phenomena,"Following the above discussion of truth, our knowledge – ideally verifiable, systematic observations under specific conditions – is relative to the data we have and the models (perspectives) that we have used to establish the knowledge (informally truths of the phenomenon)",3
PROBABILISTIC,9,8,72,Based on or adapted to a theory of probability; subject to or involving chance variation.,the main approaches are either rule-based or probabilistic,It’s a fact that data science results are probabilistic and unpredictable,3
ISOLATION,9,8,72,The process or fact of isolating or being isolated.,the isolation of older people,"This is the easiest setup that we can, at least partially, practice for in isolation",3
INHERENTLY,9,8,72,"In a permanent, essential, or characteristic way.",the work is inherently dangerous,This system as it has evolved leads inherently to 3 major problems,3
SUMMARIZE,9,8,72,Give a brief statement of the main points of (something),these results can be summarized in the following table,"To learn product sense I resorted to the basic read and summarize strategy, using the resources listed below",3
